number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_model.scoring_fct_norm	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
31	0.09644194756554307	2020-05-13 13:19:19.192334	2020-05-13 13:20:00.329676	128	2	256	0.17533591800221265	0.9879994985589946	0.007022471910112359	0.09644194756554307	0.02949438202247191	0.04681647940074907	47.57209737827716	0.05112442194537153	0.007022471910112359	0.09644194756554307	0.02949438202247191	0.04681647940074907	47.57209737827716	0.05112442194537153	1539821129	150.0	0.007022471910112359	0.09644194756554307	0.02949438202247191	0.04681647940074907	47.57209737827716	0.05112442194537153	31	COMPLETE
32	0.951310861423221	2020-05-13 13:20:00.340926	2020-05-13 13:22:25.337856	128	1	256	0.0019710490740589607	0.06911631140941649	0.47284644194756553	0.951310861423221	0.7808988764044944	0.8773408239700374	3.333801498127341	0.6465018792812431	0.47284644194756553	0.951310861423221	0.7808988764044944	0.8773408239700374	3.333801498127341	0.6465018792812431	3977973534	450.0	0.47284644194756553	0.951310861423221	0.7808988764044944	0.8773408239700374	3.333801498127341	0.6465018792812431	32	COMPLETE
33	0.9555243445692884	2020-05-13 13:22:25.348343	2020-05-13 13:26:53.916432	128	1	512	0.3508120105971718	0.06920169259173872	0.45739700374531833	0.9555243445692884	0.776685393258427	0.8726591760299626	3.338951310861423	0.6371862804844751	0.45739700374531833	0.9555243445692884	0.776685393258427	0.8726591760299626	3.338951310861423	0.6371862804844751	315317927	850.0	0.45739700374531833	0.9555243445692884	0.776685393258427	0.8726591760299626	3.338951310861423	0.6371862804844751	33	COMPLETE
34	0.9452247191011236	2020-05-13 13:26:53.928622	2020-05-13 13:28:52.809115	64	1	256	0.01105704698469224	0.07288394682370963	0.476123595505618	0.9452247191011236	0.7808988764044944	0.8787453183520599	3.5014044943820224	0.6476846201721399	0.476123595505618	0.9452247191011236	0.7808988764044944	0.8787453183520599	3.5014044943820224	0.6476846201721399	2778240593	600.0	0.476123595505618	0.9452247191011236	0.7808988764044944	0.8787453183520599	3.5014044943820224	0.6476846201721399	34	COMPLETE
35	0.10767790262172285	2020-05-13 13:28:52.821259	2020-05-13 13:29:33.028731	128	2	256	0.006427961450407001	0.9809792710421084	0.011704119850187267	0.10767790262172285	0.0351123595505618	0.05664794007490637	47.33473782771536	0.056726032463340605	0.011704119850187267	0.10767790262172285	0.0351123595505618	0.05664794007490637	47.33473782771536	0.056726032463340605	4228850799	150.0	0.011704119850187267	0.10767790262172285	0.0351123595505618	0.05664794007490637	47.33473782771536	0.056726032463340605	35	COMPLETE
36	0.9569288389513109	2020-05-13 13:29:33.040647	2020-05-13 13:39:22.238361	256	1	256	0.5388423327359976	0.0655190611531965	0.49953183520599254	0.9569288389513109	0.802434456928839	0.8937265917602997	3.1558988764044944	0.6677989603691454	0.49953183520599254	0.9569288389513109	0.802434456928839	0.8937265917602997	3.1558988764044944	0.6677989603691454	157739720	600.0	0.49953183520599254	0.9569288389513109	0.802434456928839	0.8937265917602997	3.1558988764044944	0.6677989603691454	36	COMPLETE
37	0.10252808988764045	2020-05-13 13:39:22.248585	2020-05-13 13:40:00.923634	64	2	512	0.21704071356581114	0.9925332929012941	0.0149812734082397	0.10252808988764045	0.03417602996254682	0.056179775280898875	47.75702247191011	0.057211838888753294	0.0149812734082397	0.10252808988764045	0.03417602996254682	0.056179775280898875	47.75702247191011	0.057211838888753294	2960993629	250.0	0.0149812734082397	0.10252808988764045	0.03417602996254682	0.056179775280898875	47.75702247191011	0.057211838888753294	37	COMPLETE
38	0.0997191011235955	2020-05-13 13:40:00.935611	2020-05-13 13:40:25.168040	64	2	256	0.44346340340264917	0.9987001318775801	0.011235955056179775	0.0997191011235955	0.032303370786516857	0.05664794007490637	48.14817415730337	0.05383281130577682	0.011235955056179775	0.0997191011235955	0.032303370786516857	0.05664794007490637	48.147940074906366	0.053833010864512545	1879313537	150.0	0.011235955056179775	0.0997191011235955	0.032303370786516857	0.05664794007490637	48.14840823970037	0.05383261744871926	38	COMPLETE
39	0.2883895131086142	2020-05-13 13:40:25.180180	2020-05-13 13:57:40.750805	256	2	128	0.019600188774862158	0.6027652829526209	0.06554307116104868	0.2883895131086142	0.13576779026217228	0.1793071161048689	29.005149812734082	0.14539653548327575	0.06554307116104868	0.2883895131086142	0.13576779026217228	0.1793071161048689	29.005149812734082	0.14539653548327575	2193378467		0.06554307116104868	0.2883895131086142	0.13576779026217228	0.1793071161048689	29.005149812734082	0.14539653548327575	39	COMPLETE
40	0.10440074906367042	2020-05-13 13:57:40.762787	2020-05-13 13:58:28.808204	128	2	128	0.0014362450082526501	0.9789530002164972	0.009831460674157303	0.10440074906367042	0.032303370786516857	0.05196629213483146	47.18258426966292	0.05419285161056715	0.009831460674157303	0.10440074906367042	0.032303370786516857	0.05196629213483146	47.18258426966292	0.05419285161056715	1822843265	150.0	0.009831460674157303	0.10440074906367042	0.032303370786516857	0.05196629213483146	47.18258426966292	0.05419285161056715	40	COMPLETE
