number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_negative_sampler.num_negs_per_pos	params_training.batch_size	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
30	0.8862359550561798	2020-04-16 00:24:34.465493	2020-04-16 00:32:40.830645	256	24	128	0.1006019989801187	0.3366104868913858	0.8862359550561798	0.6320224719101124	0.7635767790262172	4.889044943820225	0.5206019155355738	0.3366104868913858	0.8862359550561798	0.6320224719101124	0.7635767790262172	4.889044943820225	0.5206019155355738	3001555427	1000.0	0.3366104868913858	0.8862359550561798	0.6320224719101124	0.7635767790262172	4.889044943820225	0.5206019155355738	30	COMPLETE
31	0.10533707865168539	2020-04-16 00:32:40.857775	2020-04-16 00:33:24.746305	64	46	256	1.0252368457036352	0.009831460674157303	0.10533707865168539	0.02855805243445693	0.04868913857677903	49.42790262172284	0.05183589777989409	0.009831460674157303	0.10533707865168539	0.02855805243445693	0.04868913857677903	49.42790262172284	0.05183589777989409	1893140750	200.0	0.009831460674157303	0.10533707865168539	0.02855805243445693	0.04868913857677903	49.42790262172284	0.05183589777989409	31	COMPLETE
32	0.09784644194756555	2020-04-16 00:33:24.773551	2020-04-16 00:34:24.871040	256	62	128	0.9928467338747774	0.007958801498127341	0.09784644194756555	0.02949438202247191	0.048220973782771535	47.92837078651685	0.05147452744961303	0.007958801498127341	0.09784644194756555	0.02949438202247191	0.048220973782771535	47.92837078651685	0.05147452744961303	1648110761	150.0	0.007958801498127341	0.09784644194756555	0.02949438202247191	0.048220973782771535	47.92837078651685	0.05147452744961303	32	COMPLETE
33	0.11095505617977527	2020-04-16 00:34:24.892651	2020-04-16 00:34:53.250157	64	62	512	1.0263137521304204	0.012172284644194757	0.11095505617977527	0.0351123595505618	0.06179775280898876	49.51966292134831	0.05619165634302316	0.012172284644194757	0.11095505617977527	0.0351123595505618	0.06179775280898876	49.51966292134831	0.05619165634302316	917722647	200.0	0.012172284644194757	0.11095505617977527	0.0351123595505618	0.06179775280898876	49.51966292134831	0.05619165634302316	33	COMPLETE
34	0.10674157303370786	2020-04-16 00:34:53.295339	2020-04-16 00:35:12.762399	128	31	512	1.0090183252154776	0.010767790262172285	0.10674157303370786	0.032303370786516857	0.054775280898876406	48.61938202247191	0.05422478202549287	0.010767790262172285	0.10674157303370786	0.032303370786516857	0.054775280898876406	48.61938202247191	0.05422478202549287	4122424161	150.0	0.010767790262172285	0.10674157303370786	0.032303370786516857	0.054775280898876406	48.61938202247191	0.05422478202549287	34	COMPLETE
35	0.10580524344569288	2020-04-16 00:35:12.789713	2020-04-16 00:36:07.109558	128	61	128	0.9769107759764508	0.011704119850187267	0.10580524344569288	0.03323970037453183	0.054307116104868915	47.147940074906366	0.05510113469478162	0.011704119850187267	0.10580524344569288	0.03323970037453183	0.054307116104868915	47.147940074906366	0.05510113469478162	1157281742	150.0	0.011704119850187267	0.10580524344569288	0.03323970037453183	0.054307116104868915	47.147940074906366	0.05510113469478162	35	COMPLETE
36	0.0997191011235955	2020-04-16 00:36:07.138339	2020-04-16 00:36:40.522013	256	64	512	0.9916462700993646	0.007958801498127341	0.0997191011235955	0.02949438202247191	0.048220973782771535	47.848314606741575	0.05188558683955446	0.007958801498127341	0.0997191011235955	0.02949438202247191	0.048220973782771535	47.848314606741575	0.05188558683955446	1293636140	150.0	0.007958801498127341	0.0997191011235955	0.02949438202247191	0.048220973782771535	47.848314606741575	0.05188558683955446	36	COMPLETE
37	0.09784644194756555	2020-04-16 00:36:40.549669	2020-04-16 00:37:24.203029	256	63	256	1.0052590797452974	0.009831460674157303	0.09784644194756555	0.02902621722846442	0.04260299625468165	48.47752808988764	0.050675072346088056	0.009831460674157303	0.09784644194756555	0.02902621722846442	0.04260299625468165	48.47752808988764	0.050675072346088056	2013231036	150.0	0.009831460674157303	0.09784644194756555	0.02902621722846442	0.04260299625468165	48.47752808988764	0.050675072346088056	37	COMPLETE
38	0.10580524344569288	2020-04-16 00:37:24.229847	2020-04-16 00:37:54.300204	64	75	256	0.9905250953459827	0.011235955056179775	0.10580524344569288	0.037921348314606744	0.06273408239700375	47.8066479400749	0.05786109674826763	0.011235955056179775	0.10580524344569288	0.037921348314606744	0.06273408239700375	47.8066479400749	0.05786109674826763	307329645	150.0	0.011235955056179775	0.10580524344569288	0.037921348314606744	0.06273408239700375	47.8066479400749	0.05786109674826763	38	COMPLETE
39	0.10159176029962547	2020-04-16 00:37:54.321179	2020-04-16 00:38:42.336956	256	84	256	0.9889012832353276	0.009363295880149813	0.10159176029962547	0.03136704119850187	0.05571161048689138	47.72050561797753	0.05349537428395407	0.009363295880149813	0.10159176029962547	0.03136704119850187	0.05571161048689138	47.72050561797753	0.05349537428395407	3901689491	150.0	0.009363295880149813	0.10159176029962547	0.03136704119850187	0.05571161048689138	47.72050561797753	0.05349537428395407	39	COMPLETE
