number	value	datetime_start	datetime_complete	params_model.embedding_dim	params_optimizer.lr	params_training.batch_size	params_training.label_smoothing	user_attrs_avg.adjusted_mean_rank	user_attrs_avg.hits_at_1	user_attrs_avg.hits_at_10	user_attrs_avg.hits_at_3	user_attrs_avg.hits_at_5	user_attrs_avg.mean_rank	user_attrs_avg.mean_reciprocal_rank	user_attrs_best.hits_at_1	user_attrs_best.hits_at_10	user_attrs_best.hits_at_3	user_attrs_best.hits_at_5	user_attrs_best.mean_rank	user_attrs_best.mean_reciprocal_rank	user_attrs_random_seed	user_attrs_stopped_epoch	user_attrs_worst.hits_at_1	user_attrs_worst.hits_at_10	user_attrs_worst.hits_at_3	user_attrs_worst.hits_at_5	user_attrs_worst.mean_rank	user_attrs_worst.mean_reciprocal_rank	system_attrs__number	state
49	0.8029026217228464	2020-03-17 02:17:26.370261	2020-03-17 02:17:47.602399	128	0.01712695381252667	256	0.09966257708586716	0.1543109755220122	0.19288389513108614	0.8029026217228464	0.44569288389513106	0.5997191011235955	7.441011235955056	0.3745118081096072	0.19288389513108614	0.8029026217228464	0.44569288389513106	0.5997191011235955	7.441011235955056	0.3745118081096072	3988359552	250	0.19288389513108614	0.8029026217228464	0.44569288389513106	0.5997191011235955	7.441011235955056	0.3745118081096072	49	COMPLETE
50	0.8773408239700374	2020-03-17 02:17:47.630451	2020-03-17 02:18:08.825584	64	0.09167618784850548	512	0.006755349448505757	0.11516065634560356	0.2958801498127341	0.8773408239700374	0.6179775280898876	0.7467228464419475	5.570458801498128	0.49613116237148985	0.324438202247191	0.8773408239700374	0.6179775280898876	0.7467228464419475	5.551498127340824	0.5072110624963339	2693518761	300	0.2958801498127341	0.8773408239700374	0.6179775280898876	0.7467228464419475	5.589419475655431	0.491371486965747	50	COMPLETE
51	0.8806179775280899	2020-03-17 02:18:08.852504	2020-03-17 02:18:26.284043	128	0.05400203706436414	512	0.020333178277915254	0.1144949615582447	0.27668539325842695	0.8806179775280899	0.5777153558052435	0.7270599250936329	5.521769662921348	0.47033541783728106	0.2785580524344569	0.8806179775280899	0.5781835205992509	0.727996254681648	5.518258426966292	0.4711821678413345	283387432	250	0.27668539325842695	0.8806179775280899	0.577247191011236	0.7265917602996255	5.525280898876405	0.46997014120795955	51	COMPLETE
52	0.8150749063670412	2020-03-17 02:18:26.311533	2020-03-17 02:18:45.329646	128	0.020590127146224362	256	0.005552259931275591	0.14326548335850517	0.20926966292134833	0.8150749063670412	0.4789325842696629	0.6324906367041199	6.9049625468164795	0.3956407729342462	0.20926966292134833	0.8150749063670412	0.4789325842696629	0.6324906367041199	6.9049625468164795	0.3956407729342462	3258540831	200	0.20926966292134833	0.8150749063670412	0.4789325842696629	0.6324906367041199	6.9049625468164795	0.3956407729342462	52	COMPLETE
53	0.8089887640449438	2020-03-17 02:18:45.356733	2020-03-17 02:19:13.737359	256	0.055268276996924916	128	0.3731496484042278	0.15249014516144796	0.24625468164794007	0.8089887640449438	0.5004681647940075	0.6446629213483146	7.364934456928839	0.4208737909178496	0.24672284644194756	0.8089887640449438	0.5004681647940075	0.6446629213483146	7.364700374531835	0.4210298458491854	4065089609	250	0.24625468164794007	0.8089887640449438	0.5004681647940075	0.6446629213483146	7.365168539325842	0.42079576345218167	53	COMPLETE
54	0.8117977528089888	2020-03-17 02:19:13.763785	2020-03-17 02:19:36.539436	256	0.005046531231437851	128	0.003452316418884786	0.1489107457961022	0.20926966292134833	0.8117977528089888	0.48174157303370785	0.62312734082397	7.189606741573034	0.39453108008685206	0.20926966292134833	0.8117977528089888	0.48174157303370785	0.62312734082397	7.189606741573034	0.39453108008685206	546885062	200	0.20926966292134833	0.8117977528089888	0.48174157303370785	0.62312734082397	7.189606741573034	0.39453108008685206	54	COMPLETE
55	0.8071161048689138	2020-03-17 02:19:36.573085	2020-03-17 02:19:50.913438	256	0.02709622601589041	512	0.034545179313214686	0.14741507346117486	0.1999063670411985	0.8071161048689138	0.4545880149812734	0.6114232209737828	7.1184456928838955	0.3822805539662775	0.1999063670411985	0.8071161048689138	0.4545880149812734	0.6114232209737828	7.1184456928838955	0.3822805539662775	1558345811	200	0.1999063670411985	0.8071161048689138	0.4545880149812734	0.6114232209737828	7.1184456928838955	0.3822805539662775	55	COMPLETE
56	0.8539325842696629	2020-03-17 02:19:50.940317	2020-03-17 02:20:06.696073	64	0.02807863092595604	256	0.0034409080025161395	0.12681718041147158	0.2448501872659176	0.8539325842696629	0.5252808988764045	0.6722846441947565	6.125936329588015	0.4342571004576221	0.2448501872659176	0.8539325842696629	0.5252808988764045	0.6722846441947565	6.125936329588015	0.4342571004576221	2602576518	200	0.2448501872659176	0.8539325842696629	0.5252808988764045	0.6722846441947565	6.125936329588015	0.4342571004576221	56	COMPLETE
57	0.8033707865168539	2020-03-17 02:20:06.720733	2020-03-17 02:20:42.442653	64	0.0018166240090991114	256	0.0036582744445152	0.15211540788467903	0.23361423220973782	0.8033707865168539	0.49765917602996257	0.6343632958801498	7.346441947565543	0.4138910554906216	0.23361423220973782	0.8033707865168539	0.49765917602996257	0.6343632958801498	7.346441947565543	0.4138910554906216	969045506	400	0.23361423220973782	0.8033707865168539	0.49765917602996257	0.6343632958801498	7.346441947565543	0.4138910554906216	57	COMPLETE
58	0.7017790262172284	2020-03-17 02:20:42.469706	2020-03-17 02:21:22.383018	256	0.0010397149291345661	128	0.45688448887296573	0.2321448198934731	0.17790262172284643	0.7017790262172284	0.38857677902621723	0.5187265917602997	11.21816479400749	0.3366735940509118	0.17790262172284643	0.7017790262172284	0.38857677902621723	0.5187265917602997	11.21816479400749	0.3366735940509118	326298718	300	0.17790262172284643	0.7017790262172284	0.38857677902621723	0.5187265917602997	11.21816479400749	0.3366735940509118	58	COMPLETE
